Name,r,claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
ASASSN-17cv,15,AGN,0.064,ASASSN-17cv;AT2017bgt,0,0,0,0,0,0
ASASSN-17eh,2,,,ASASSN-17eh;PS1-13enj;AT2017cox,0,0,0,0,0,0
ASASSN-17jz,80,AGN,0.165,ASASSN-17jz;Gaia17cff;AT2017fro,0,0,0,0,0,0
ASASSN-18yz,4,,,ASASSN-18yz;AT2018huu;ZTF18acbwhns,0,0,0,0,0,0
ASASSN-18zj,4,TDE,0.045815,ASASSN-18zj;AT2018hyz,0,0,0,0,0,0
ASASSN-19dj,6,TDE,0.022346;0.022346,ASASSN-19dj;AT2019azh,1,0,0,0,0,0
ASASSN-19mj,2,Ibn,0.024757;0.024757,ASASSN-19mj;AT2019fcb;ZTF19aatmkll;Gaia19bzk,0,0,0,0,0,0
AT2016adr,4,Candidate,,AT2016adr;PS16aho,0,0,0,0,0,0
AT2016ayh,2,Candidate,,AT2016ayh;PTSS-16kg,0,0,0,0,0,0
AT2016ban,1,Candidate,,AT2016ban;PTSS-16pz,0,0,0,0,0,0
AT2016bao,2,Candidate,,AT2016bao;PTSS-16ns,0,0,0,0,0,0
AT2016bar,4,Candidate,0.0589;0.0589,AT2016bar;XTSS-16A;PS16bke,0,0,0,0,0,0
AT2016bcz,17,Candidate,,AT2016bcz;XTSS-16C;PS16bjh,0,0,0,0,0,0
AT2016bfd,4,Candidate,,AT2016bfd;ATLAS16ahb;PS16btu,0,0,0,0,0,0
AT2016cnw,2,Candidate,0.08;0.08,AT2016cnw;PTSS-16gxi,0,0,0,0,0,0
AT2016cos,3,Candidate,,AT2016cos;ATLAS16ato;PS16ddk,0,0,0,0,0,0
AT2016csm,4,CV,,AT2016csm;PS16cun;ASASSN-16fy;CSS160614:140203+461334,0,0,0,0,0,0
AT2016cvi,2,Candidate,0.031;0.031,AT2016cvi;PTSS-16hwd,0,0,0,0,0,0
AT2016cys,2,Candidate,,AT2016cys;PTSS-16jpc,0,0,0,0,0,0
AT2016dai,7,Candidate,,AT2016dai;PTSS-16kfg;PS16dud,0,0,0,0,0,0
AT2016enn,4,Candidate,0.074,AT2016enn;ATLAS16bxa;PS16dqr,0,0,0,0,0,0
AT2016flw,2,Candidate,0.0986;0.0986,AT2016flw;PTSS-16mvu,0,0,0,0,0,0
AT2016frq,2,Candidate,,AT2016frq;PTSS-16nfp,0,0,0,0,0,0
AT2016ftd,2,Candidate,,AT2016ftd;PTSS-nmw;PTSS-16nmw,0,0,0,0,0,0
AT2016fzs,1,Candidate,,AT2016fzs;PTSS-16pev;ATLAS16crj,0,0,0,0,0,0
AT2016gdp,5,Candidate,,AT2016gdp;PS16ejj;PTSS-16old;<a id="MASJ233608.12+223233.1">MASTER OT J233608.12+223233.1</a>;MASTER OT JJ233608.12+223233.1,0,0,0,0,0,0
AT2016gjj,2,Candidate,,AT2016gjj;PTSS-16nxf;PS16etq,0,0,0,0,0,0
AT2016gjs,7,Candidate,,AT2016gjs;PTSS-16olg;PS16ejn,0,0,0,0,0,0
AT2016glf,2,Candidate,,AT2016glf;PTSS-16oma,0,0,0,0,0,0
AT2016glh,1,Candidate,,AT2016glh;PTSS-16oms;PS16eun,0,0,0,0,0,0
AT2016goc,5,Candidate,,AT2016goc;PS16ela,0,0,0,0,0,0
AT2016god,5,Candidate,,AT2016god;PS16elc,0,0,0,0,0,0
AT2016goe,5,Candidate,,AT2016goe;PS16elb,0,0,0,0,0,0
AT2016gof,4,Candidate,,AT2016gof;PS16eky,0,0,0,0,0,0
AT2016gvf,2,Candidate,,AT2016gvf;PTSS-16ppg,0,0,0,0,0,0
AT2016gvh,2,Candidate,,AT2016gvh;PTSS-16ppp;PS16esu,0,0,0,0,0,0
AT2016irs,6,Candidate,,AT2016irs;ZTF18abgubgi,0,0,0,0,0,0
AT2016jfs,1,Candidate,,AT2016jfs;PTSS-16srx,0,0,0,0,0,0
AT2016of,4,Candidate,0.0167,AT2016of;PS16pl;<a id="2016ccq">AT2016ccq</a>,0,0,0,0,0,0
AT2017axh,1,Candidate,,AT2017axh;PTSS-17gpm;ATLAS17bbz,0,0,0,0,0,0
AT2017bwl,3,Candidate,,AT2017bwl;ZTF18aahqsad,0,0,0,0,0,0
AT2017bxh,4,Candidate,,AT2017bxh;ZTF18aaevepq,0,0,0,0,0,0
AT2017byh,1,Candidate,,AT2017byh;PTSS-17iyj,0,0,0,0,0,0
AT2017byi,1,Candidate,,AT2017byi;PTSS-17iwq,0,0,0,0,0,0
